Number	turns	FirstSubmit	RewriteCount	DialogueLen	dia_dc_score	dia_fk_score	dialogue_bert_pp	Mal_label	Mal_number	Nonmal_number	my_split	WorkTimeInSeconds	worker_score	lifetime_ranking
1	3	0	2	33	10.25	102.31	22.53	1	2	1	train	181	100	279
2	4	0	0	43	7.18	91.81	23.16	1	1	3	test	24	100	87
3	4	0	0	35	12.33	119.7	22.16	1	2	2	train	53	100	87
4	3	0	0	40	10.57	96.57	21.85	1	2	1	train	47	100	87
5	3	0	0	43	9.86	71.64	22.49	1	3	0	train	64	100	87
6	3	0	0	39	10.25	90.03	22.61	1	1	2	train	51	100	87
7	9	0	0	127	8.14	110.01	22.81	1	1	8	test	70	100	87
8	3	0	0	23	9.1	100.55	23.58	1	1	2	test	24	100	87
9	4	0	1	39	10.73	113.5	22.87	1	2	2	train	44	100	87
10	3	0	0	24	10.41	100.55	21.3	1	1	2	train	60	100	87
11	3	0	0	37	7.31	105.44	21.98	1	1	2	train	63	100	87
12	3	0	0	56	8.71	81.8	23.57	1	2	1	train	48	100	87
13	3	0	1	38	12.77	102.82	22.21	1	2	1	test	31	100	87
14	3	0	0	37	13.3	118.29	22.88	1	3	0	test	46	100	87
15	3	0	0	58	8.57	72.23	23.47	1	1	2	train	33	100	87
16	3	0	0	52	14.92	142.58	22.9	1	2	1	train	21	100	87
17	3	0	0	24	8.23	88.15	22.59	1	2	1	train	49	100	87
18	6	0	0	51	9.71	94.26	22.71	1	6	0	train	48	100	87
19	4	0	0	63	8.7	84.99	22.83	1	1	3	train	37	100	87
20	4	0	1	31	6.44	89.7	22.58	1	1	3	train	76	100	87
21	4	0	2	37	13.07	96.52	23.13	1	2	2	test	67	100	87
22	3	0	1	29	9.72	71.03	21.88	1	2	1	test	36	100	87
23	4	0	0	25	10.83	93.47	22	1	3	1	test	53	100	87
24	4	0	1	39	12.55	109.47	22.58	1	2	2	train	67	100	87
25	5	0	1	49	11.33	110.12	23.35	1	2	3	train	60	100	87
26	4	0	1	45	9.26	105.74	22.56	1	3	1	train	43	100	87
27	3	0	1	28	6.36	85.57	22.67	1	2	1	train	38	100	87
28	3	0	1	40	9.99	99.23	22.88	1	2	1	train	38	100	87
29	3	0	1	25	8.21	91.99	21.4	1	1	2	train	103	100	87
30	3	0	1	25	13.36	83.32	22.28	1	2	1	train	45	100	87
31	3	0	0	55	6.64	90.1	23.18	1	1	2	train	30	100	87
32	3	0	0	45	13.09	129.38	22.87	1	1	2	train	20	100	87
33	3	0	1	22	9.56	76.21	22.26	1	1	2	train	189	100	264
34	4	0	0	54	9.11	74.5	22.76	1	1	3	train	138	100	87
35	7	0	0	65	13.47	124.55	22.12	1	2	5	train	76	100	87
36	5	1	2	31	7.65	92.88	21.94	1	2	3	train	212	100	264
37	3	0	1	35	7.94	90.57	22.95	1	2	1	train	40	100	87
38	3	0	1	57	15.39	140.5	22.74	1	1	2	test	64	100	87
39	4	0	1	29	9.21	103.42	21.82	1	1	3	test	39	100	87
40	3	0	2	65	11.13	89.48	24.64	1	2	1	train	83	100	87
41	4	0	1	34	7.23	98.13	22.26	1	1	3	train	37	100	87
42	3	0	1	32	8.22	101.27	22.18	1	1	2	train	29	100	87
43	3	0	1	58	8.14	86.44	23.09	1	1	2	train	68	100	87
44	3	0	1	45	8.93	95.33	23.4	1	3	0	train	78	100	87
45	3	0	1	34	8.99	89.93	22.93	1	2	1	train	45	100	87
