machine_confidence	human_confidence	machine_effort	target	machine_predict	human_effort_groundtruth	human_effort_predicted_avg
0.7996466	1	0	0	0	0.007391	0.01645
0.9821441	1	0	0	0	0.007391	0.01645
0.9961405	1	0	0	0	0.007391	0.01645
0.9849926	1	0	1	1	0.007391	0.01645
0.9981793	1	0	0	0	0.004556	0.011033
0.9991379	1	0	0	0	0.004556	0.011033
0.9991049	1	0	0	0	0.004556	0.011033
0.999243	1	0	0	0	0.004556	0.011033
0.9990152	1	0	0	0	0.004556	0.011033
0.9988048	1	0	0	0	0.004556	0.011033
0.9859449	1	0	1	1	0.004556	0.011033
0.9981926	1	0	0	0	0.004556	0.011033
0.9991024	1	0	0	0	0.004556	0.011033
0.8929289	1	0	1	1	0.014139	0.015433
0.9744254	1	0	0	1	0.014139	0.015433
0.9822575	1	0	0	0	0.014139	0.015433
0.9232315	1	0	1	0	0.01913	0.020167
0.5039011	1	0	0	0	0.01913	0.020167
0.9883741	1	0	1	1	0.01913	0.020167
0.9964547	1	0	1	1	0.029841	0.017367
0.5474298	1	0	1	0	0.029841	0.017367
0.9180351	1	0	1	0	0.029841	0.017367
0.8204705	1	0	1	1	0.024663	0.02015
0.8956248	1	0	1	1	0.024663	0.02015
0.8203439	1	0	0	0	0.024663	0.02015
0.9952791	1	0	0	0	0.024663	0.02015
0.6877396	1	0	1	0	0.022708	0.0233
0.9861705	1	0	1	1	0.022708	0.0233
0.9991934	1	0	0	0	0.022708	0.0233
0.9960077	1	0	1	1	0.019039	0.018175
0.9669181	1	0	1	1	0.019039	0.018175
0.9344443	1	0	1	1	0.019039	0.018175
0.9628134	1	0	0	0	0.019039	0.018175
0.9988192	1	0	0	0	0.042695	0.0199
0.9988702	1	0	1	0	0.042695	0.0199
0.9941798	1	0	0	0	0.042695	0.0199
0.9960865	1	0	1	1	0.013416	0.015725
0.9974037	1	0	0	1	0.013416	0.015725
0.9964997	1	0	0	0	0.013416	0.015725
0.9981534	1	0	0	0	0.013416	0.015725
0.7662669	1	0	0	0	0.020244	0.0193
0.7909159	1	0	1	1	0.020244	0.0193
0.8604509	1	0	1	1	0.020244	0.0193
0.9974566	1	0	0	0	0.020244	0.0193
0.9976023	1	0	1	1	0.01913	0.017667
0.9308267	1	0	0	0	0.01913	0.017667
0.9943619	1	0	1	0	0.01913	0.017667
0.8894483	1	0	0	0	0.024143	0.0232
0.9735736	1	0	0	0	0.024143	0.0232
0.9822446	1	0	1	0	0.024143	0.0232
0.9988698	1	0	0	0	0.012072	0.013217
0.9992005	1	0	0	0	0.012072	0.013217
0.997306	1	0	0	0	0.012072	0.013217
0.9782752	1	0	1	1	0.012072	0.013217
0.8042615	1	0	1	1	0.012072	0.013217
0.9818229	1	0	1	1	0.012072	0.013217
0.9698324	1	0	1	1	0.111424	0.1066
0.9976501	1	0	1	1	0.111424	0.1066
0.9744999	1	0	0	0	0.111424	0.1066
0.9095705	1	0	1	0	0.111424	0.1066
0.8265377	1	0	1	1	0.040729	0.035225
0.7255508	1	0	1	1	0.040729	0.035225
0.9883354	1	0	1	1	0.040729	0.035225
0.984136	1	0	1	1	0.040729	0.035225
0.9981459	1	0	0	0	0.005536	0.013943
0.9992102	1	0	0	0	0.005536	0.013943
0.9989116	1	0	0	0	0.005536	0.013943
0.9987437	1	0	0	0	0.005536	0.013943
0.5683523	1	0	0	0	0.005536	0.013943
0.9990397	1	0	0	0	0.005536	0.013943
0.5295735	1	0	1	1	0.005536	0.013943
0.9991271	1	0	0	0	0.039846	0.068567
0.9844998	1	0	1	1	0.039846	0.068567
0.9977564	1	0	0	0	0.039846	0.068567
0.9971558	1	0	1	1	0.022654	0.028025
0.9660229	1	0	1	1	0.022654	0.028025
0.6032112	1	0	0	0	0.022654	0.028025
0.9980874	1	0	0	0	0.022654	0.028025
0.9649643	1	0	1	1	0.045566	0.019967
0.8120194	1	0	1	1	0.045566	0.019967
0.9584703	1	0	0	0	0.045566	0.019967
0.9991651	1	0	0	0	0.041988	0.0559
0.9993184	1	0	1	0	0.041988	0.0559
0.9988812	1	0	0	0	0.041988	0.0559
0.9985347	1	0	0	0	0.101971	0.063167
0.5288534	1	0	1	1	0.101971	0.063167
0.9991449	1	0	0	0	0.101971	0.063167
0.8644612	1	0	1	0	0.046979	0.024733
0.9470914	1	0	0	0	0.046979	0.024733
0.9916464	1	0	0	0	0.046979	0.024733
0.6975983	1	0	0	0	0.036997	0.019067
0.9957109	1	0	1	1	0.036997	0.019067
0.5040515	1	0	0	0	0.036997	0.019067
0.9911043	1	0	1	1	0.021851	0.035825
0.8224923	1	0	0	0	0.021851	0.035825
0.9984425	1	0	1	1	0.021851	0.035825
0.7457562	1	0	0	0	0.021851	0.035825
0.9878934	1	0	1	1	0.04413	0.0329
0.6493856	1	0	1	0	0.04413	0.0329
0.51412	1	0	0	1	0.04413	0.0329
0.9692386	1	0	1	1	0.097943	0.05356
0.9963234	1	0	1	0	0.097943	0.05356
0.9937035	1	0	0	0	0.097943	0.05356
0.9952321	1	0	0	0	0.097943	0.05356
0.7466071	1	0	1	1	0.097943	0.05356
0.9794228	1	0	0	0	0.19338	0.077867
0.9824764	1	0	1	1	0.19338	0.077867
0.9219102	1	0	1	1	0.19338	0.077867
0.9970166	1	0	1	1	0.013882	0.01438
0.7370037	1	0	1	1	0.013882	0.01438
0.9542731	1	0	0	0	0.013882	0.01438
0.9895699	1	0	0	0	0.013882	0.01438
0.9934788	1	0	0	0	0.013882	0.01438
0.9856492	1	0	0	0	0.151949	0.102933
0.9979432	1	0	1	0	0.151949	0.102933
0.9494354	1	0	1	1	0.151949	0.102933
0.9904662	1	0	1	1	0.003138	0.013117
0.9966567	1	0	0	0	0.003138	0.013117
0.998713	1	0	0	0	0.003138	0.013117
0.7845668	1	0	0	0	0.003138	0.013117
0.991574	1	0	0	0	0.003138	0.013117
0.9929268	1	0	0	0	0.003138	0.013117
0.9944947	1	0	1	1	0.176949	0.1156
0.7251352	1	0	0	1	0.176949	0.1156
0.9611697	1	0	1	1	0.176949	0.1156
0.5444559	1	0	0	1	0.016281	0.0188
0.9691604	1	0	0	0	0.016281	0.0188
0.9951014	1	0	1	1	0.016281	0.0188
0.9902418	1	0	0	0	0.037704	0.021033
0.8712336	1	0	1	0	0.037704	0.021033
0.9545258	1	0	1	0	0.037704	0.021033
0.9974746	1	0	1	1	0.016452	0.02206
0.5645601	1	0	1	0	0.016452	0.02206
0.9945247	1	0	1	1	0.016452	0.02206
0.9973958	1	0	1	1	0.016452	0.02206
0.9141761	1	0	1	0	0.016452	0.02206
0.8124232	1	0	0	0	0.008494	0.01435
0.8563083	1	0	1	0	0.008494	0.01435
0.996563	1	0	0	0	0.008494	0.01435
0.9975352	1	0	0	0	0.008494	0.01435
0.9990578	1	0	0	0	0.008494	0.01435
0.9992558	1	0	0	0	0.008494	0.01435
0.9637148	1	0	0	0	0.00617	0.0086
0.5488484	1	0	0	0	0.00617	0.0086
0.9788158	1	0	1	1	0.00617	0.0086
0.8898412	1	0	0	1	0.00617	0.0086
0.7690023	1	0	1	0	0.00617	0.0086
0.9932065	1	0	0	0	0.00617	0.0086
0.9991871	1	0	0	0	0.00617	0.0086
0.9987667	1	0	0	0	0.00617	0.0086
0.9986004	1	0	1	0	0.00617	0.0086
0.9971359	1	0	0	0	0.00617	0.0086
0.9045247	1	0	1	0	0.05157	0.078414
0.9890111	1	0	0	0	0.05157	0.078414
0.9980002	1	0	0	0	0.05157	0.078414
0.9986558	1	0	0	0	0.05157	0.078414
0.6457773	1	0	1	0	0.05157	0.078414
0.6880694	1	0	1	0	0.05157	0.078414
0.9941245	1	0	1	1	0.05157	0.078414
0.5510455	1	0	1	1	0.034854	0.078367
0.9955913	1	0	1	1	0.034854	0.078367
0.9948686	1	0	1	1	0.034854	0.078367
0.8638833	1	0	1	1	0.023136	0.037633
0.9821274	1	0	1	1	0.023136	0.037633
0.6406412	1	0	1	1	0.023136	0.037633
0.886478	1	0	1	1	0.023136	0.037633
0.6374616	1	0	0	0	0.023136	0.037633
0.842397	1	0	1	0	0.023136	0.037633
0.9938442	1	0	1	1	0.027876	0.020825
0.8983877	1	0	0	0	0.027876	0.020825
0.991085	1	0	0	0	0.027876	0.020825
0.9970273	1	0	0	0	0.027876	0.020825
0.9813781	1	0	1	1	0.100578	0.069175
0.9527116	1	0	0	0	0.100578	0.069175
0.7692372	1	0	1	1	0.100578	0.069175
0.9981741	1	0	0	0	0.100578	0.069175
0.9842831	1	0	1	1	0.028278	0.045575
0.7907386	1	0	1	0	0.028278	0.045575
0.5882141	1	0	1	0	0.028278	0.045575
0.5904332	1	0	1	0	0.028278	0.045575
0.9971998	1	0	0	1	0.037114	0.04975
0.9440843	1	0	0	0	0.037114	0.04975
0.5721928	1	0	1	1	0.037114	0.04975
0.9208044	1	0	0	0	0.037114	0.04975
0.9788209	1	0	1	1	0.022783	0.032183
0.9846651	1	0	0	0	0.022783	0.032183
0.6427479	1	0	1	0	0.022783	0.032183
0.974838	1	0	0	0	0.022783	0.032183
0.9877223	1	0	0	1	0.022783	0.032183
0.9919092	1	0	0	0	0.022783	0.032183
0.8725784	1	0	0	0	0.050771	0.0569
0.6294495	1	0	1	1	0.050771	0.0569
0.9979463	1	0	1	1	0.050771	0.0569
0.7652265	1	0	1	0	0.050771	0.0569
0.7085048	1	0	1	1	0.026695	0.057013
0.713248	1	0	1	1	0.026695	0.057013
0.7772223	1	0	0	0	0.026695	0.057013
0.9938234	1	0	0	0	0.026695	0.057013
0.984178	1	0	1	0	0.026695	0.057013
0.902466	1	0	1	1	0.026695	0.057013
0.9969164	1	0	1	0	0.026695	0.057013
0.9983827	1	0	0	0	0.026695	0.057013
0.5184983	1	0	0	0	0.069837	0.0297
0.995334	1	0	0	0	0.069837	0.0297
0.990001	1	0	1	1	0.069837	0.0297
0.9990076	1	0	0	0	0.030688	0.05435
0.9808812	1	0	1	1	0.030688	0.05435
0.8610445	1	0	0	0	0.030688	0.05435
0.9968059	1	0	0	0	0.030688	0.05435
0.507765	1	0	0	0	0.015448	0.026788
0.9968411	1	0	0	0	0.015448	0.026788
0.9980084	1	0	0	0	0.015448	0.026788
0.9964833	1	0	0	0	0.015448	0.026788
0.9987178	1	0	0	0	0.015448	0.026788
0.9805341	1	0	1	0	0.015448	0.026788
0.9988764	1	0	0	0	0.015448	0.026788
0.9989183	1	0	0	0	0.015448	0.026788
0.9980289	1	0	1	1	0.027965	0.040614
0.6585327	1	0	0	1	0.027965	0.040614
0.9846511	1	0	1	1	0.027965	0.040614
0.8847069	1	0	0	0	0.027965	0.040614
0.9923918	1	0	1	1	0.027965	0.040614
0.9847395	1	0	1	1	0.027965	0.040614
0.9550826	1	0	1	1	0.027965	0.040614
0.9970533	1	0	0	1	0.070453	0.05315
0.787766	1	0	0	0	0.070453	0.05315
0.9570633	1	0	0	0	0.070453	0.05315
0.8930416	1	0	1	1	0.070453	0.05315
0.9814772	1	0	1	1	0.018516	0.033478
0.9498729	1	0	1	0	0.018516	0.033478
0.9981805	1	0	1	0	0.018516	0.033478
0.9987312	1	0	1	0	0.018516	0.033478
0.9990256	1	0	1	0	0.018516	0.033478
0.9912123	1	0	1	0	0.018516	0.033478
0.9813762	1	0	1	0	0.018516	0.033478
0.9125102	1	0	1	1	0.018516	0.033478
0.815324	1	0	1	1	0.018516	0.033478
0.9990707	1	0	0	0	0.017566	0.024067
0.9990143	1	0	0	0	0.017566	0.024067
0.9992107	1	0	0	0	0.017566	0.024067
0.9812926	1	0	1	1	0.017566	0.024067
0.9588384	1	0	1	0	0.017566	0.024067
0.9914395	1	0	1	1	0.017566	0.024067
0.7304024	1	0	1	0	0.017566	0.024067
0.9561438	1	0	1	1	0.017566	0.024067
0.6153047	1	0	1	0	0.017566	0.024067
0.9838339	1	0	1	1	0.022365	0.04127
0.9980959	1	0	0	0	0.022365	0.04127
0.9991149	1	0	0	0	0.022365	0.04127
0.9992418	1	0	0	0	0.022365	0.04127
0.9994226	1	0	0	0	0.022365	0.04127
0.9993899	1	0	0	0	0.022365	0.04127
0.9994103	1	0	1	0	0.022365	0.04127
0.9685099	1	0	1	1	0.022365	0.04127
0.99434	1	0	0	0	0.022365	0.04127
0.9980984	1	0	0	0	0.022365	0.04127
0.9983143	1	0	1	1	0.131909	0.0532
0.9978651	1	0	1	1	0.131909	0.0532
0.9889622	1	0	1	1	0.131909	0.0532
0.9931299	1	0	0	1	0.131909	0.0532
0.9976552	1	0	0	0	0.024261	0.018425
0.910537	1	0	1	1	0.024261	0.018425
0.7926448	1	0	0	1	0.024261	0.018425
0.9861988	1	0	0	0	0.024261	0.018425
0.9941637	1	0	1	1	0.119859	0.088825
0.7049532	1	0	0	1	0.119859	0.088825
0.9539564	1	0	0	1	0.119859	0.088825
0.9522684	1	0	0	1	0.119859	0.088825
0.9974559	1	0	1	1	0.030688	0.0255
0.8481288	1	0	1	1	0.030688	0.0255
0.9807324	1	0	1	0	0.030688	0.0255
0.991652	1	0	0	0	0.030688	0.0255
0.9840909	1	0	0	0	0.008419	0.020688
0.9227872	1	0	1	1	0.008419	0.020688
0.7931036	1	0	0	0	0.008419	0.020688
0.9837678	1	0	1	0	0.008419	0.020688
0.9558427	1	0	0	0	0.008419	0.020688
0.9564785	1	0	0	0	0.008419	0.020688
0.8834696	1	0	0	0	0.008419	0.020688
0.9979977	1	0	0	0	0.008419	0.020688
0.9992713	1	0	0	0	0.113368	0.11788
0.9988338	1	0	0	0	0.113368	0.11788
0.973309	1	0	1	1	0.113368	0.11788
0.9724133	1	0	1	1	0.113368	0.11788
0.9792484	1	0	0	1	0.113368	0.11788
0.9924327	1	0	0	1	0.093573	0.101
0.9938212	1	0	0	0	0.093573	0.101
0.9957902	1	0	1	1	0.093573	0.101
0.7223899	1	0	0	0	0.093573	0.101
0.6225793	1	0	0	1	0.093573	0.101
0.9831566	1	0	1	1	0.041653	0.0678
0.9965851	1	0	0	0	0.041653	0.0678
0.9658687	1	0	0	0	0.041653	0.0678
0.9992778	1	0	0	0	0.041653	0.0678
0.9944797	1	0	1	1	0.041653	0.0678
0.5641413	1	0	0	0	0.041653	0.0678
0.9976786	1	0	0	0	0.041653	0.0678
0.9981365	1	0	0	0	0.041653	0.0678
0.9835344	1	0	0	1	0.022277	0.029
0.7669976	1	0	0	0	0.022277	0.029
0.5364866	1	0	0	1	0.022277	0.029
0.9868234	1	0	1	1	0.022277	0.029
0.9836624	1	0	1	1	0.022277	0.029
0.9206748	1	0	1	0	0.022277	0.029
0.9684066	1	0	0	0	0.022277	0.029
0.9942992	1	0	0	0	0.022277	0.029
0.9954408	1	0	1	1	0.144361	0.122675
0.9853331	1	0	1	1	0.144361	0.122675
0.9841784	1	0	1	1	0.144361	0.122675
0.9221394	1	0	0	0	0.144361	0.122675
0.9983687	1	0	1	1	0.060411	0.0893
0.9740305	1	0	1	1	0.060411	0.0893
0.8930304	1	0	0	1	0.060411	0.0893
0.9533514	1	0	0	0	0.060411	0.0893
0.9854583	1	0	0	0	0.092802	0.07982
0.9396226	1	0	1	0	0.092802	0.07982
0.975654	1	0	0	0	0.092802	0.07982
0.893763	1	0	1	0	0.092802	0.07982
0.8463284	1	0	0	1	0.092802	0.07982
0.9966188	1	0	1	1	0.063657	0.076
0.9804671	1	0	0	0	0.063657	0.076
0.8849274	1	0	1	0	0.063657	0.076
0.9979122	1	0	1	1	0.063657	0.076
0.9981507	1	0	1	1	0.063657	0.076
0.992405	1	0	1	1	0.063657	0.076
0.9729225	1	0	1	1	0.055591	0.041075
0.9970111	1	0	1	1	0.055591	0.041075
0.8545361	1	0	1	1	0.055591	0.041075
0.9166363	1	0	1	0	0.055591	0.041075
0.9975235	1	0	1	1	0.158821	0.127825
0.9908158	1	0	1	1	0.158821	0.127825
0.9949693	1	0	1	1	0.158821	0.127825
0.9316967	1	0	1	1	0.158821	0.127825
0.9990656	1	0	0	0	0.113368	0.118
0.9979959	1	0	0	0	0.113368	0.118
0.9989164	1	0	0	0	0.113368	0.118
0.997116	1	0	0	0	0.113368	0.118
0.9300838	1	0	1	1	0.113368	0.118
0.9970303	1	0	0	0	0.060808	0.08485
0.6759715	1	0	1	1	0.060808	0.08485
0.923193	1	0	0	0	0.060808	0.08485
0.9958801	1	0	0	0	0.060808	0.08485
0.9989352	1	0	0	0	0.060808	0.08485
0.9884425	1	0	0	0	0.060808	0.08485
0.9407498	1	0	0	0	0.021851	0.0252
0.9891011	1	0	1	1	0.021851	0.0252
0.875539	1	0	1	1	0.021851	0.0252
0.9964622	1	0	0	0	0.021851	0.0252
0.9989702	1	0	0	0	0.021851	0.0252
0.9336418	1	0	0	1	0.021337	0.02512
0.9989825	1	0	0	0	0.021337	0.02512
0.8126291	1	0	1	0	0.021337	0.02512
0.9907548	1	0	0	0	0.021337	0.02512
0.997669	1	0	1	1	0.021337	0.02512
0.857909	1	0	0	0	0.05527	0.08195
0.9943075	1	0	0	0	0.05527	0.08195
0.9972933	1	0	1	1	0.05527	0.08195
0.8981423	1	0	0	0	0.05527	0.08195
0.9639403	1	0	0	1	0.05527	0.08195
0.8312511	1	0	0	0	0.05527	0.08195
0.9117946	1	0	0	0	0.125884	0.10935
0.550966	1	0	0	0	0.125884	0.10935
0.9843853	1	0	1	1	0.125884	0.10935
0.9728867	1	0	0	0	0.125884	0.10935
0.9771039	1	0	0	0	0.015344	0.04225
0.9986657	1	0	0	0	0.015344	0.04225
0.9040611	1	0	0	0	0.015344	0.04225
0.9970836	1	0	0	0	0.015344	0.04225
0.9967048	1	0	1	1	0.015344	0.04225
0.8886533	1	0	0	0	0.015344	0.04225
0.7728283	1	0	0	0	0.015344	0.04225
0.9784258	1	0	0	0	0.015344	0.04225
0.9979322	1	0	1	1	0.106603	0.0877
0.9925647	1	0	0	0	0.106603	0.0877
0.9869136	1	0	1	1	0.106603	0.0877
0.9135371	1	0	1	1	0.106603	0.0877
0.990086	1	0	0	0	0.060668	0.0764
0.611522	1	0	1	0	0.060668	0.0764
0.962315	1	0	0	1	0.060668	0.0764
0.861495	1	0	1	1	0.060668	0.0764
0.9466497	1	0	1	1	0.060668	0.0764
0.9253128	1	0	0	1	0.12267	0.0776
0.9708327	1	0	1	1	0.12267	0.0776
0.5060789	1	0	0	1	0.12267	0.0776
0.9578718	1	0	1	1	0.12267	0.0776
0.8847836	1	0	0	1	0.027828	0.032586
0.9355158	1	0	0	1	0.027828	0.032586
0.9972144	1	0	1	1	0.027828	0.032586
0.9975537	1	0	1	1	0.027828	0.032586
0.5309657	1	0	1	1	0.027828	0.032586
0.9477682	1	0	0	0	0.027828	0.032586
0.9333586	1	0	0	0	0.027828	0.032586
0.9985855	1	0	1	1	0.092545	0.0836
0.5122536	1	0	1	1	0.092545	0.0836
0.9928468	1	0	0	0	0.092545	0.0836
0.9727883	1	0	1	1	0.092545	0.0836
0.956869	1	0	0	0	0.121867	0.07625
0.8426722	1	0	1	0	0.121867	0.07625
0.9979302	1	0	0	0	0.121867	0.07625
0.5240081	1	0	1	1	0.121867	0.07625
0.9974769	1	0	1	1	0.022247	0.028383
0.7490617	1	0	0	1	0.022247	0.028383
0.9959596	1	0	0	0	0.022247	0.028383
0.8940566	1	0	0	1	0.022247	0.028383
0.9925317	1	0	0	0	0.022247	0.028383
0.7646396	1	0	0	0	0.022247	0.028383
0.9852992	1	0	1	0	0.023318	0.026183
0.7987333	1	0	0	0	0.023318	0.026183
0.9496303	1	0	0	1	0.023318	0.026183
0.8957249	1	0	0	0	0.023318	0.026183
0.7869326	1	0	0	0	0.023318	0.026183
0.6489524	1	0	0	1	0.023318	0.026183
0.8624896	1	0	0	1	0.1	0.09952
0.9941039	1	0	0	0	0.1	0.09952
0.997793	1	0	1	1	0.1	0.09952
0.9933162	1	0	0	0	0.1	0.09952
0.992932	1	0	1	0	0.1	0.09952
0.9954927	1	0	0	0	0.132712	0.0743
0.607429	1	0	1	0	0.132712	0.0743
0.9587712	1	0	1	1	0.132712	0.0743
0.9812104	1	0	1	0	0.132712	0.0743
0.978576	1	0	1	1	0.10339	0.0253
0.9966943	1	0	1	1	0.10339	0.0253
0.6694595	1	0	0	1	0.10339	0.0253
0.9702066	1	0	0	0	0.10339	0.0253
0.5824707	1	0	0	0	0.054499	0.05628
0.9593436	1	0	0	0	0.054499	0.05628
0.8556536	1	0	1	0	0.054499	0.05628
0.9594787	1	0	0	0	0.054499	0.05628
0.9982898	1	0	0	0	0.054499	0.05628
0.9311311	1	0	1	0	0.029306	0.04342
0.9564961	1	0	1	0	0.029306	0.04342
0.9278607	1	0	1	0	0.029306	0.04342
0.9242842	1	0	0	0	0.029306	0.04342
0.9618201	1	0	0	0	0.029306	0.04342
0.9963386	1	0	1	1	0.051928	0.053
0.9867231	1	0	0	1	0.051928	0.053
0.7676413	1	0	0	0	0.051928	0.053
0.8409304	1	0	0	0	0.051928	0.053
0.9966542	1	0	0	0	0.051928	0.053
0.9934227	1	0	0	0	0.03795	0.057767
0.9906728	1	0	1	1	0.03795	0.057767
0.9840247	1	0	1	1	0.03795	0.057767
0.9842142	1	0	1	0	0.03795	0.057767
0.9019308	1	0	0	0	0.03795	0.057767
0.9976472	1	0	1	1	0.03795	0.057767
0.917752	1	0	1	1	0.174888	0.084775
0.9882141	1	0	1	1	0.174888	0.084775
0.9515624	1	0	1	1	0.174888	0.084775
0.9904913	1	0	1	1	0.174888	0.084775
0.6197184	1	0	1	0	0.179306	0.1163
0.9990785	1	0	0	0	0.179306	0.1163
0.9890302	1	0	1	1	0.179306	0.1163
0.9980233	1	0	1	1	0.179306	0.1163
0.9968264	1	0	1	1	0.018913	0.030057
0.8727583	1	0	0	1	0.018913	0.030057
0.9401215	1	0	1	1	0.018913	0.030057
0.9944242	1	0	0	0	0.018913	0.030057
0.9970596	1	0	0	0	0.018913	0.030057
0.9771327	1	0	0	0	0.018913	0.030057
0.9783452	1	0	0	0	0.018913	0.030057
0.8518893	1	0	1	0	0.044987	0.04972
0.998809	1	0	0	0	0.044987	0.04972
0.6222758	1	0	1	1	0.044987	0.04972
0.9727064	1	0	0	0	0.044987	0.04972
0.9866469	1	0	1	1	0.044987	0.04972
0.9939404	1	0	1	1	0.033901	0.02985
0.9907172	1	0	0	0	0.033901	0.02985
0.9966807	1	0	1	1	0.033901	0.02985
0.6821613	1	0	0	1	0.033901	0.02985
0.8278214	1	0	0	0	0.028278	0.02135
0.9992185	1	0	0	0	0.028278	0.02135
0.7880545	1	0	1	1	0.028278	0.02135
0.9025053	1	0	0	0	0.028278	0.02135
0.9905686	1	0	1	1	0.101971	0.073367
0.7434492	1	0	1	0	0.101971	0.073367
0.8591496	1	0	0	0	0.101971	0.073367
0.968664	1	0	1	1	0.02485	0.0387
0.9959239	1	0	1	1	0.02485	0.0387
0.5398536	1	0	1	0	0.02485	0.0387
0.9990007	1	0	0	0	0.06626	0.062333
0.9319279	1	0	1	0	0.06626	0.062333
0.5754274	1	0	1	0	0.06626	0.062333
0.9989967	1	0	0	0	0.333333	0.19
0.9470111	1	0	1	1	0.333333	0.19
0.9892108	1	0	0	0	0.333333	0.19
0.9992156	1	0	0	0	0.1241	0.055367
0.9486373	1	0	1	1	0.1241	0.055367
0.9692838	1	0	0	1	0.1241	0.055367
0.9991365	1	0	0	0	0.096251	0.050667
0.9538325	1	0	1	1	0.096251	0.050667
0.9970885	1	0	0	0	0.096251	0.050667
0.9942192	1	0	1	1	0.065553	0.038367
