machine_confidence	human_confidence	machine_effort	target	machine_predict	human_effort_groundtruth	human_effort_predicted_avg
0.7525	1	0	0	0	0.007391	0.01645
0.9797	1	0	0	0	0.007391	0.01645
0.998	1	0	0	0	0.007391	0.01645
0.9858	1	0	1	1	0.007391	0.01645
0.9983	1	0	0	0	0.004556	0.011033
0.9999	1	0	0	0	0.004556	0.011033
0.9999	1	0	0	0	0.004556	0.011033
0.9999	1	0	0	0	0.004556	0.011033
0.9999	1	0	0	0	0.004556	0.011033
0.9998	1	0	0	0	0.004556	0.011033
0.9867	1	0	1	1	0.004556	0.011033
0.9997	1	0	0	0	0.004556	0.011033
0.9999	1	0	0	0	0.004556	0.011033
0.852	1	0	1	1	0.014139	0.015433
0.9736	1	0	0	1	0.014139	0.015433
0.9785	1	0	0	0	0.014139	0.015433
0.8701	1	0	1	0	0.01913	0.020167
0.5367	1	0	0	0	0.01913	0.020167
0.989	1	0	1	1	0.01913	0.020167
0.9967	1	0	1	1	0.029841	0.017367
0.5269	1	0	1	0	0.029841	0.017367
0.845	1	0	1	0	0.029841	0.017367
0.8068	1	0	1	1	0.024663	0.02015
0.8678	1	0	1	1	0.024663	0.02015
0.7036	1	0	0	0	0.024663	0.02015
0.9968	1	0	0	0	0.024663	0.02015
0.5584	1	0	1	0	0.022708	0.0233
0.9873	1	0	1	1	0.022708	0.0233
0.9999	1	0	0	0	0.022708	0.0233
0.9961	1	0	1	1	0.019039	0.018175
0.9638	1	0	1	1	0.019039	0.018175
0.9361	1	0	1	1	0.019039	0.018175
0.9549	1	0	0	0	0.019039	0.018175
0.9998	1	0	0	0	0.042695	0.0199
0.9998	1	0	1	0	0.042695	0.0199
0.9944	1	0	0	0	0.042695	0.0199
0.9961	1	0	1	1	0.013416	0.015725
0.9974	1	0	0	1	0.013416	0.015725
0.9978	1	0	0	0	0.013416	0.015725
0.9993	1	0	0	0	0.013416	0.015725
0.7623	1	0	0	0	0.020244	0.0193
0.7815	1	0	1	1	0.020244	0.0193
0.8582	1	0	1	1	0.020244	0.0193
0.9994	1	0	0	0	0.020244	0.0193
0.9976	1	0	1	1	0.01913	0.017667
0.8969	1	0	0	0	0.01913	0.017667
0.9968	1	0	1	0	0.01913	0.017667
0.7851	1	0	0	0	0.024143	0.0232
0.9677	1	0	0	0	0.024143	0.0232
0.98	1	0	1	0	0.024143	0.0232
0.9998	1	0	0	0	0.012072	0.013217
0.9999	1	0	0	0	0.012072	0.013217
0.9994	1	0	0	0	0.012072	0.013217
0.9761	1	0	1	1	0.012072	0.013217
0.7666	1	0	1	1	0.012072	0.013217
0.9821	1	0	1	1	0.012072	0.013217
0.9695	1	0	1	1	0.111424	0.1066
0.9973	1	0	1	1	0.111424	0.1066
0.9651	1	0	0	0	0.111424	0.1066
0.8741	1	0	1	0	0.111424	0.1066
0.8065	1	0	1	1	0.040729	0.035225
0.6656	1	0	1	1	0.040729	0.035225
0.9883	1	0	1	1	0.040729	0.035225
0.9831	1	0	1	1	0.040729	0.035225
0.9986	1	0	0	0	0.005536	0.013943
0.9999	1	0	0	0	0.005536	0.013943
0.9998	1	0	0	0	0.005536	0.013943
0.9998	1	0	0	0	0.005536	0.013943
0.5314	1	0	0	0	0.005536	0.013943
0.9999	1	0	0	0	0.005536	0.013943
0.5416	1	0	1	1	0.005536	0.013943
0.9998	1	0	0	0	0.039846	0.068567
0.9851	1	0	1	1	0.039846	0.068567
0.9991	1	0	0	0	0.039846	0.068567
0.9974	1	0	1	1	0.022654	0.028025
0.9675	1	0	1	1	0.022654	0.028025
0.5274	1	0	0	0	0.022654	0.028025
0.9994	1	0	0	0	0.022654	0.028025
0.963	1	0	1	1	0.045566	0.019967
0.7858	1	0	1	1	0.045566	0.019967
0.9388	1	0	0	0	0.045566	0.019967
0.9999	1	0	0	0	0.041988	0.0559
0.9999	1	0	1	0	0.041988	0.0559
0.9998	1	0	0	0	0.041988	0.0559
0.9997	1	0	0	0	0.101971	0.063167
0.5426	1	0	1	1	0.101971	0.063167
0.9999	1	0	0	0	0.101971	0.063167
0.797	1	0	1	0	0.046979	0.024733
0.9286	1	0	0	0	0.046979	0.024733
0.991	1	0	0	0	0.046979	0.024733
0.5489	1	0	0	0	0.036997	0.019067
0.9956	1	0	1	1	0.036997	0.019067
0.5295	1	0	0	0	0.036997	0.019067
0.9905	1	0	1	1	0.021851	0.035825
0.7103	1	0	0	0	0.021851	0.035825
0.9984	1	0	1	1	0.021851	0.035825
0.5886	1	0	0	0	0.021851	0.035825
0.9891	1	0	1	1	0.04413	0.0329
0.5773	1	0	1	0	0.04413	0.0329
0.5387	1	0	0	1	0.04413	0.0329
0.9683	1	0	1	1	0.097943	0.05356
0.998	1	0	1	0	0.097943	0.05356
0.9936	1	0	0	0	0.097943	0.05356
0.9972	1	0	0	0	0.097943	0.05356
0.6941	1	0	1	1	0.097943	0.05356
0.971	1	0	0	0	0.19338	0.077867
0.981	1	0	1	1	0.19338	0.077867
0.9134	1	0	1	1	0.19338	0.077867
0.9973	1	0	1	1	0.013882	0.01438
0.7122	1	0	1	1	0.013882	0.01438
0.9258	1	0	0	0	0.013882	0.01438
0.9856	1	0	0	0	0.013882	0.01438
0.9939	1	0	0	0	0.013882	0.01438
0.9806	1	0	0	0	0.151949	0.102933
0.9996	1	0	1	0	0.151949	0.102933
0.9503	1	0	1	1	0.151949	0.102933
0.9894	1	0	1	1	0.003138	0.013117
0.9985	1	0	0	0	0.003138	0.013117
0.9998	1	0	0	0	0.003138	0.013117
0.6537	1	0	0	0	0.003138	0.013117
0.991	1	0	0	0	0.003138	0.013117
0.9931	1	0	0	0	0.003138	0.013117
0.9947	1	0	1	1	0.176949	0.1156
0.6585	1	0	0	1	0.176949	0.1156
0.9577	1	0	1	1	0.176949	0.1156
