machine_confidence	human_confidence	machine_effort	target	machine_predict	human_effort_groundtruth	human_effort_predicted_avg
0.207585107	1	0	0	0	0.007391	0.019025
0.546465805	1	0	0	0	0.007391	0.019025
0.721057895	1	0	0	0	0.007391	0.019025
0.638757998	1	0	1	1	0.007391	0.019025
0.852475992	1	0	0	0	0.004556	0.009978
0.953046292	1	0	0	0	0.004556	0.009978
0.951728376	1	0	0	0	0.004556	0.009978
0.964082866	1	0	0	0	0.004556	0.009978
0.927177404	1	0	0	0	0.004556	0.009978
0.904507855	1	0	0	0	0.004556	0.009978
0.616119887	1	0	1	1	0.004556	0.009978
0.841279953	1	0	0	0	0.004556	0.009978
0.920902663	1	0	0	0	0.004556	0.009978
0.320485361	1	0	1	1	0.014139	0.020333
0.537843899	1	0	0	1	0.014139	0.020333
0.514558676	1	0	0	0	0.014139	0.020333
0.331904941	1	0	1	0	0.01913	0.035333
0.059459389	1	0	0	0	0.01913	0.035333
0.659904671	1	0	1	1	0.01913	0.035333
0.797802239	1	0	1	1	0.029841	0.029933
0.060219764	1	0	1	0	0.029841	0.029933
0.316492046	1	0	1	0	0.029841	0.029933
0.251178247	1	0	1	1	0.024663	0.0561
0.326182052	1	0	1	1	0.024663	0.0561
0.238866569	1	0	0	0	0.024663	0.0561
0.697082468	1	0	0	0	0.024663	0.0561
0.104951964	1	0	1	0	0.022708	0.060267
0.65239843	1	0	1	1	0.022708	0.060267
0.945280777	1	0	0	0	0.022708	0.060267
0.785623316	1	0	1	1	0.019039	0.021775
0.497295439	1	0	1	1	0.019039	0.021775
0.40299009	1	0	1	1	0.019039	0.021775
0.435624459	1	0	0	0	0.019039	0.021775
0.901121038	1	0	0	0	0.042695	0.079333
0.89794897	1	0	1	0	0.042695	0.079333
0.655654715	1	0	0	0	0.042695	0.079333
0.794663731	1	0	1	1	0.013416	0.040375
0.854708421	1	0	0	1	0.013416	0.040375
0.726122146	1	0	0	0	0.013416	0.040375
0.82043189	1	0	0	0	0.013416	0.040375
0.229315811	1	0	0	0	0.020244	0.02415
0.252826416	1	0	1	1	0.020244	0.02415
0.329834839	1	0	1	1	0.020244	0.02415
0.815738889	1	0	0	0	0.020244	0.02415
0.877506483	1	0	1	1	0.01913	0.0319
0.353043486	1	0	0	0	0.01913	0.0319
0.689434475	1	0	1	0	0.01913	0.0319
0.321546354	1	0	0	0	0.024143	0.029867
0.480976669	1	0	0	0	0.024143	0.029867
0.532032523	1	0	1	0	0.024143	0.029867
0.906004558	1	0	0	0	0.012072	0.01555
0.948715595	1	0	0	0	0.012072	0.01555
0.784051519	1	0	0	0	0.012072	0.01555
0.571604642	1	0	1	1	0.012072	0.01555
0.242196619	1	0	1	1	0.012072	0.01555
0.606291784	1	0	1	1	0.012072	0.01555
0.494076163	1	0	1	1	0.111424	0.081875
0.864257927	1	0	1	1	0.111424	0.081875
0.464458972	1	0	0	0	0.111424	0.081875
0.329611502	1	0	1	0	0.111424	0.081875
0.244643478	1	0	1	1	0.040729	0.0794
0.173968876	1	0	1	1	0.040729	0.0794
0.659044471	1	0	1	1	0.040729	0.0794
0.608363496	1	0	1	1	0.040729	0.0794
0.805151265	1	0	0	0	0.005536	0.029371
0.956999044	1	0	0	0	0.005536	0.029371
0.905380067	1	0	0	0	0.005536	0.029371
0.895343451	1	0	0	0	0.005536	0.029371
0.084699978	1	0	0	0	0.005536	0.029371
0.923964084	1	0	0	0	0.005536	0.029371
0.052720636	1	0	1	1	0.005536	0.029371
0.945398989	1	0	0	0	0.039846	0.048167
0.621250643	1	0	1	1	0.039846	0.048167
0.795282932	1	0	0	0	0.039846	0.048167
0.850435539	1	0	1	1	0.022654	0.0404
0.490298953	1	0	1	1	0.022654	0.0404
0.091607133	1	0	0	0	0.022654	0.0404
0.839977322	1	0	0	0	0.022654	0.0404
0.506285169	1	0	1	1	0.045566	0.031833
0.260570205	1	0	1	1	0.045566	0.031833
0.406367015	1	0	0	0	0.045566	0.031833
0.934197813	1	0	0	0	0.041988	0.051067
0.958502036	1	0	1	0	0.041988	0.051067
0.917158015	1	0	0	0	0.041988	0.051067
0.887148872	1	0	0	0	0.101971	0.053367
0.051725227	1	0	1	1	0.101971	0.053367
0.924167178	1	0	0	0	0.101971	0.053367
0.270789034	1	0	1	0	0.046979	0.043033
0.397368927	1	0	0	0	0.046979	0.043033
0.621004507	1	0	0	0	0.046979	0.043033
0.141567021	1	0	0	0	0.036997	0.053867
0.791084657	1	0	1	1	0.036997	0.053867
0.041994288	1	0	0	0	0.036997	0.053867
0.695068264	1	0	1	1	0.021851	0.02545
0.218063925	1	0	0	0	0.021851	0.02545
0.933557271	1	0	1	1	0.021851	0.02545
0.189390648	1	0	0	0	0.021851	0.02545
0.669049598	1	0	1	1	0.04413	0.0728
0.148269216	1	0	1	0	0.04413	0.0728
0.046186958	1	0	0	1	0.04413	0.0728
0.510886055	1	0	1	1	0.097943	0.06692
0.721875538	1	0	1	0	0.097943	0.06692
0.648498432	1	0	0	0	0.097943	0.06692
0.694784479	1	0	0	0	0.097943	0.06692
0.189984322	1	0	1	1	0.097943	0.06692
0.532698957	1	0	0	0	0.19338	0.080667
0.595919063	1	0	1	1	0.19338	0.080667
0.391556656	1	0	1	1	0.19338	0.080667
0.866140654	1	0	1	1	0.013882	0.02198
0.209310414	1	0	1	1	0.013882	0.02198
0.395839558	1	0	0	0	0.013882	0.02198
0.597782007	1	0	0	0	0.013882	0.02198
0.642381648	1	0	0	0	0.013882	0.02198
0.558157848	1	0	0	0	0.151949	0.124167
0.818750367	1	0	1	0	0.151949	0.124167
0.439447063	1	0	1	1	0.151949	0.124167
