machine_confidence	human_confidence	machine_effort	target	machine_predict	human_effort_groundtruth	human_effort_predicted_avg	turn	turns	final_predict
0.207585107	1	0	0	0	0.007391	0.01645	1	4	0
0.546465805	1	0	0	0	0.007391	0.01645	2	4	0
0.721057895	1	0	0	0	0.007391	0.01645	3	4	0
0.638757998	1	0	1	1	0.007391	0.01645	4	4	1
0.852475992	1	0	0	0	0.004556	0.011033	1	9	0
0.953046292	1	0	0	0	0.004556	0.011033	2	9	0
0.951728376	1	0	0	0	0.004556	0.011033	3	9	0
0.964082866	1	0	0	0	0.004556	0.011033	4	9	0
0.927177404	1	0	0	0	0.004556	0.011033	5	9	0
0.904507855	1	0	0	0	0.004556	0.011033	6	9	0
0.616119887	1	0	1	1	0.004556	0.011033	7	9	1
0.841279953	1	0	0	0	0.004556	0.011033	8	9	0
0.920902663	1	0	0	0	0.004556	0.011033	9	9	0
0.320485361	1	0	1	1	0.014139	0.015433	1	3	1
0.537843899	1	0	0	1	0.014139	0.015433	2	3	0
0.514558676	1	0	0	0	0.014139	0.015433	3	3	0
0.331904941	1	0	1	0	0.01913	0.020167	1	3	1
0.059459389	1	0	0	0	0.01913	0.020167	2	3	0
0.659904671	1	0	1	1	0.01913	0.020167	3	3	1
0.797802239	1	0	1	1	0.029841	0.017367	1	3	1
0.060219764	1	0	1	0	0.029841	0.017367	2	3	1
0.316492046	1	0	1	0	0.029841	0.017367	3	3	1
0.251178247	1	0	1	1	0.024663	0.02015	1	4	1
0.326182052	1	0	1	1	0.024663	0.02015	2	4	1
0.238866569	1	0	0	0	0.024663	0.02015	3	4	0
0.697082468	1	0	0	0	0.024663	0.02015	4	4	0
0.104951964	1	0	1	0	0.022708	0.0233	1	3	1
0.65239843	1	0	1	1	0.022708	0.0233	2	3	1
0.945280777	1	0	0	0	0.022708	0.0233	3	3	0
0.785623316	1	0	1	1	0.019039	0.018175	1	4	1
0.497295439	1	0	1	1	0.019039	0.018175	2	4	1
0.40299009	1	0	1	1	0.019039	0.018175	3	4	1
0.435624459	1	0	0	0	0.019039	0.018175	4	4	0
0.901121038	1	0	0	0	0.042695	0.0199	1	3	0
0.89794897	1	0	1	0	0.042695	0.0199	2	3	0
0.655654715	1	0	0	0	0.042695	0.0199	3	3	0
0.794663731	1	0	1	1	0.013416	0.015725	1	4	1
0.854708421	1	0	0	1	0.013416	0.015725	2	4	1
0.726122146	1	0	0	0	0.013416	0.015725	3	4	0
0.82043189	1	0	0	0	0.013416	0.015725	4	4	0
0.229315811	1	0	0	0	0.020244	0.0193	1	4	0
0.252826416	1	0	1	1	0.020244	0.0193	2	4	1
0.329834839	1	0	1	1	0.020244	0.0193	3	4	1
0.815738889	1	0	0	0	0.020244	0.0193	4	4	0
0.877506483	1	0	1	1	0.01913	0.017667	1	3	1
0.353043486	1	0	0	0	0.01913	0.017667	2	3	0
0.689434475	1	0	1	0	0.01913	0.017667	3	3	1
0.321546354	1	0	0	0	0.024143	0.0232	1	3	0
0.480976669	1	0	0	0	0.024143	0.0232	2	3	0
0.532032523	1	0	1	0	0.024143	0.0232	3	3	1
0.906004558	1	0	0	0	0.012072	0.013217	1	6	0
0.948715595	1	0	0	0	0.012072	0.013217	2	6	0
0.784051519	1	0	0	0	0.012072	0.013217	3	6	0
0.571604642	1	0	1	1	0.012072	0.013217	4	6	1
0.242196619	1	0	1	1	0.012072	0.013217	5	6	1
0.606291784	1	0	1	1	0.012072	0.013217	6	6	1
0.494076163	1	0	1	1	0.111424	0.1066	1	4	1
0.864257927	1	0	1	1	0.111424	0.1066	2	4	1
0.464458972	1	0	0	0	0.111424	0.1066	3	4	0
0.329611502	1	0	1	0	0.111424	0.1066	4	4	1
0.244643478	1	0	1	1	0.040729	0.035225	1	4	1
0.173968876	1	0	1	1	0.040729	0.035225	2	4	1
0.659044471	1	0	1	1	0.040729	0.035225	3	4	1
0.608363496	1	0	1	1	0.040729	0.035225	4	4	1
0.805151265	1	0	0	0	0.005536	0.013943	1	7	0
0.956999044	1	0	0	0	0.005536	0.013943	2	7	0
0.905380067	1	0	0	0	0.005536	0.013943	3	7	0
0.895343451	1	0	0	0	0.005536	0.013943	4	7	0
0.084699978	1	0	0	0	0.005536	0.013943	5	7	0
0.923964084	1	0	0	0	0.005536	0.013943	6	7	0
0.052720636	1	0	1	1	0.005536	0.013943	7	7	1
0.945398989	1	0	0	0	0.039846	0.068567	1	3	0
0.621250643	1	0	1	1	0.039846	0.068567	2	3	1
0.795282932	1	0	0	0	0.039846	0.068567	3	3	0
0.850435539	1	0	1	1	0.022654	0.028025	1	4	1
0.490298953	1	0	1	1	0.022654	0.028025	2	4	1
0.091607133	1	0	0	0	0.022654	0.028025	3	4	0
0.839977322	1	0	0	0	0.022654	0.028025	4	4	0
0.506285169	1	0	1	1	0.045566	0.019967	1	3	1
0.260570205	1	0	1	1	0.045566	0.019967	2	3	1
0.406367015	1	0	0	0	0.045566	0.019967	3	3	0
0.934197813	1	0	0	0	0.041988	0.0559	1	3	0
0.958502036	1	0	1	0	0.041988	0.0559	2	3	0
0.917158015	1	0	0	0	0.041988	0.0559	3	3	0
0.887148872	1	0	0	0	0.101971	0.063167	1	3	0
0.051725227	1	0	1	1	0.101971	0.063167	2	3	1
0.924167178	1	0	0	0	0.101971	0.063167	3	3	0
0.270789034	1	0	1	0	0.046979	0.024733	1	3	1
0.397368927	1	0	0	0	0.046979	0.024733	2	3	0
0.621004507	1	0	0	0	0.046979	0.024733	3	3	0
0.141567021	1	0	0	0	0.036997	0.019067	1	3	0
0.791084657	1	0	1	1	0.036997	0.019067	2	3	1
0.041994288	1	0	0	0	0.036997	0.019067	3	3	0
0.695068264	1	0	1	1	0.021851	0.035825	1	4	1
